,repo_id,commit_id,commit_index,commit_time,message,parents,n_added,n_deleted,n_moved,n_renamed,n_struc_changes,total_files_per_level,max_file_depth,total_files,max_file_depth_diff,bucket
103002,niezhiliang_netty-websocket-spring-boot,4870740fce231011466c80c8c95d6709de318cd5,77,1687772623,"feat: 注解版init
",d14834b57b0fb17f9328e35cc3ae472dce8438d6,153,0,0,0,153,"4,2,0,0,1,8,3,6,90,2,32,1,4",13,153,13.0,0
104298,cutbox_cutbox,3710de547db6ea89beabef71b5c12b91c06b7bc9,0,1521293663,"Initial commit - basic status item app setup with quit option.
",,635,0,0,0,635,"2,3,9,7,37,37,149,173,67,129,18,4,0,0,0,0",12,635,12.0,0
104830,mobivm_robovm,3d1e6eccf9edf5e4c05727882f587af2e2368785,0,1461183345," Initial commit. Here's what I did:
- Figured out which OSS RoboVM repositories are needed for libGDX
- Put them into a single repository, much easier to maintain, but
  history got destroyed in the process. Can look up history in
  original repository if necessary
- Set the groupId of all artifacts to my domain com.mobidevelop
  so I can publish to Maven Central
- Set the version to 2.0.0-SNAPSHOT so there's zero chance of
  a collision with the original RoboVM releases
- Couldn't get native bits to compile, so updated minimum iOS
  and Mac OS X versions for toolchain in vm/CMakeFileList.txt
  and OS.java until it worked.
- Apps wouldn't link due to some missing c++ symbols. Removed linking
  to libstdc++ in IOSTarget.java. Not sure if that has any detrimental
  effects but it fixed linking.
- When opening a run configuration via the IDEA plugin, it would
  crash in DeviceType.java:113. It seems that the output of some
  command line tool is being parsed, and that returns error
  messages together with the data we need. Fixed via ugly
  hack.
- Updated to the latest commit of https://github.com/robovm/bwdgc.git
  Probably fixed some GC crashes since the release in October.
- Pulled in the IDE plugins for Eclipse and IDEA, the Gradle plugin
  and the templates project. We don't need the Maven plugin and junit
  stuff for libGDX. Everything's in the plugin/ directory
- Templates: removed the templates that i couldn't get to work, namely
  the ones relying on storyboards. Seems like the OSS RoboVM couldn't
  deal with those at all.
- IDEA plugin: removed the bridge to the interface builder functionality
  otherwise the plugin would crash since we miss the artifacts for that
- IDEA plugin: removed the whole setup stuff for Android and license
  checks. The former didn't work for me at all, and the latter would crash
  because it's missing the actual code.
- IDEA plugin: removed the templates in RoboVMTemplateFactory that aren't
  working.
- IDEA plugin: The RoboVmCompileTask doesn't seem to work with that as it can't find
  the robovm.xml file needed for compilation. Fixed in RoboVmPlugin.java
  with a very ugly hack.
- IDEA plugin: there was a huge memory leak in the compiler code of the
  plugin. It retained the AppCompiler instance, which was huge. Fixed
  by nulling that out at the appropriate time
- IDEA plugin: fixed template_build.gradle to use the new groupId
- Gradle plugin: it seems the Gradle plugin was kept up-to-date with
  the latest closed source RoboVM. Had to remove a bunch of stuff, like
  TvOS functionality, as we don't have to sources for that.
- Eclipse plugin: just fixed up the poms, don't know if it works.
",,13825,0,0,0,13825,"2,6,68,36,327,383,137,945,1707,5473,1380,1122,1594,182,255,153,52,3",18,13825,18.0,0
107468,stevdza-san_themeswitcher,0d6d9a13d3a77c7ad1f0ff42f8f5aeec4a360abf,0,1678702175,"Initial commit
",,43,0,0,0,43,"6,7,2,1,0,20,0,0,4,0,3",11,43,11.0,0
108187,deroproject_derohe,e25b1a7f5f1dcb6479121fa0b16d106549e88c31,0,1608372089,"DERO Homomorphic Encryption Testnet Release
",,5578,0,0,0,5578,"7,143,108,38,1007,1646,1023,379,154,719,257,73,15,9",14,5578,14.0,0
108193,deroproject_derohe,d73164bcedcc148457ccea73df4e471ff284b9a2,27,1636289250,"REPO Cleaned.
",16fad834a1067dc33ce867824cf851d10d1a2c87,0,4458,0,0,4458,"1,0,0,0,0,0,0,0,0,0,0,0,0,0",1,1,-13.0,0
108194,deroproject_derohe,cf3173c22cb68bb8e86f5a02b58c130cb259c2a7,28,1636389557," DERO HE Stargate Testnet R16
",d73164bcedcc148457ccea73df4e471ff284b9a2,4349,0,0,0,4349,"9,141,128,243,765,1335,505,141,83,657,246,73,15,9",14,4350,13.0,0
108198,deroproject_derohe,70cbc0a3b05af057c55a891a1bfb7014dc04c6b9,40,1637594937,"Repo Cleaned
",2ef26faa40938291229ea6d0139d244da75ad359,0,4542,0,0,4542,"1,0,0,0,0,0,0,0,0,0,0,0,0,0",1,1,-13.0,0
108199,deroproject_derohe,49651db052e60d8c2c6f9671079bd238355387d7,41,1637597102,"DERO-HE STARGATE Testnet Release28
",70cbc0a3b05af057c55a891a1bfb7014dc04c6b9,4496,0,0,0,4496,"9,139,112,243,844,1408,516,143,83,657,246,73,15,9",14,4497,13.0,0
108201,deroproject_derohe,afaa747e9446aa8b276e091d1c02d3e56865a400,48,1638636024,"Repo Cleaned.
",8ab876171c54633f447771d4edc55015f31487c6,0,4793,0,0,4793,"1,0,0,0,0,0,0,0,0,0,0,0,0,0",1,1,-13.0,0
108202,deroproject_derohe,f0d3e7a6e8ad4de1f7419b3fef6dc3edcb4b10b1,49,1638636131,"DERO-HE STARGATE Testnet Release35
",afaa747e9446aa8b276e091d1c02d3e56865a400,4765,0,0,0,4765,"9,139,111,244,871,1445,545,273,128,658,246,73,15,9",14,4766,13.0,0
111370,charlee-dev_shoppe,b7283a543ca5146a9f76fdbb38984e416140bfd2,0,1642679416,"Initial commit
",,118,0,0,0,118,"5,21,3,6,5,1,0,2,52,11,12",11,118,11.0,0
118458,dingodb_dingo,c61b0684e7d705f7476b31ed77f3eb59137787f0,0,1634178489,"[dingo] init commit about dingo
",,473,0,0,0,473,"10,24,31,0,13,9,0,59,177,48,69,33,0",12,473,12.0,0
121231,b1ays_revanced-manager,69c11177a5a989e4c60ab43dbc6b54ec711ebceb,0,1683708667,"Initial commit
",,100,0,0,0,100,"6,25,3,4,0,25,0,0,1,17,16,3",12,100,12.0,0
122683,kaltura_server,8eea697e3d14f4c710cd44586a566aad68eedef6,5164,1305216080,"git-svn-id: svn+ssh://kelev.kaltura.com/usr/local/kalsource/backend/server/trunk/core@62212 6b8eccd3-e8c5-4e7d-8186-e12b5326b719
",f8d30b8572994bc3397959e852192d04361c6b3b,0,27108,0,0,27108,"0,67,865,1061,1433,1641,2382,1467,95,25,0,0,0,0,0,0,0,0,0,0,0,0",10,9036,-12.0,0
126461,arklumpus_treeviewer,1f4058afeb4f64b2d0c11adefd3477ec3d0ac0da,0,1613699499,"Initial release
",,769,0,0,0,769,"9,4,275,306,157,6,8,0,1,1,0,1,1",13,769,13.0,0
134285,mxalbert1996_zoomable,d57c26d068653bafac73fa46865382a87ac07acd,0,1616152840,"init
",,45,0,0,0,45,"6,5,3,2,0,18,0,4,3,0,4",11,45,11.0,0
134856,alchemy-fr_phraseanet,339d23c06da08b98604151a2dc796f9c3320859f,2,1297868988,"initial import
",399a584b6fd8134505e1d846cd34296600637b5e,5538,0,0,0,5538,"2,28,333,1304,695,944,1227,431,272,193,52,58,0,0,0,0,0",12,5539,11.0,0
136729,izhangzhihao_unmeta,6000491a7a961477ba4c4097997bb0a7afc4089c,0,1666170011,Initial commit,,34,0,0,0,34,"10,9,9,2,0,0,0,0,0,0,0,4",12,34,12.0,0
140967,sofastack_sofa-acts,c90ebb1d9b0fe5f3e1ca318fb5b1adb60ec6632f,0,1551345033,"init commit
",,352,0,0,0,352,"6,7,0,0,0,24,1,8,96,114,55,41,0,0",12,352,12.0,0
141207,eclipse-edc_connector,b5f8de65dd816dd6e2e543ef571f7f1137e2436c,6,1610572658,"Initial commit
",dcad0272e56bf2bab0748d0141edf69380541a67,30,0,0,0,30,"12,3,1,2,0,0,0,0,5,8,2,4,0,0,0,0,0,0,0,0",12,37,11.0,0
143654,mitsuha666_blog,fa08a9ba62cac0a240224bb672312c44cf29c497,6,1585048696,"first_commit
",1801f0fb8338d71623b44c7ecd2d87097d21753d,1069,0,0,0,1069,"3,3,11,98,16,41,75,79,81,80,309,273,1",13,1070,11.0,0
