,name,url,clone_url,default_branch,stargazers_count,owner.name,owner.type,description,language,topics,size,archived,created_at,pushed_at,ignored,lang,True positive
96344,blog-example-code,https://github.com/julianschiavo/blog-example-code,https://github.com/julianschiavo/blog-example-code.git,master,60,julianschiavo,User,Example code from my blog. Available under the MIT License.,Swift,,1192,FALSE,2019-02-04 10:36:29+00:00,2022-05-16 16:08:36+00:00,TRUE,Swift,
13796,create-elm-app,https://github.com/halfzebra/create-elm-app,https://github.com/halfzebra/create-elm-app.git,master,1677,halfzebra,User, 🍃 Create Elm apps with zero configuration,JavaScript,boilerplate|build-tool|cli|elm|elm-platform|hmr|scaffolding|webpack|zero-configuration,1609,FALSE,2016-09-04 18:44:08+00:00,2024-02-19 12:44:30+00:00,TRUE,JavaScript,
24881,UnrealEngineShaderPluginDemo,https://github.com/Temaran/UnrealEngineShaderPluginDemo,https://github.com/Temaran/UnrealEngineShaderPluginDemo.git,5,824,Temaran,User,A tutorial project that shows how to implement HLSL Pixel and Compute shaders in UE4,C++,,89484,FALSE,2015-02-08 09:56:02+00:00,2024-01-28 19:45:15+00:00,TRUE,C_C++,
35925,javafx-examples,https://github.com/jjenkov/javafx-examples,https://github.com/jjenkov/javafx-examples.git,main,401,jjenkov,User,A large collection of JavaFX examples demonstrating basic + advanced features of JavaFX. ,Java,,3367,FALSE,2020-10-21 10:37:31+00:00,2023-08-18 14:38:20+00:00,TRUE,Java,
22134,etl,https://github.com/ETLCPP/etl,https://github.com/ETLCPP/etl.git,master,1895,ETLCPP,Organization,Embedded Template Library,C++,algorithms|c-plus-plus|containers|cpp|embedded-applications|library|templates,26516,FALSE,2014-10-16 11:12:24+00:00,2024-02-18 12:08:53+00:00,TRUE,C_C++,
11250,node-express-mongoose-demo,https://github.com/madhums/node-express-mongoose-demo,https://github.com/madhums/node-express-mongoose-demo.git,main,5101,madhums,User,A simple demo app using node and mongodb for beginners (with docker),JavaScript,demo|docker|express|mongodb|mongoose|node|passport|pug,2017,FALSE,2011-03-05 08:52:32+00:00,2024-01-09 21:27:23+00:00,TRUE,JavaScript,
51292,laravel-ecommerce-example,https://github.com/drehimself/laravel-ecommerce-example,https://github.com/drehimself/laravel-ecommerce-example.git,master,982,drehimself,User,Code for YouTube series on building a Laravel E-Commerce application.,PHP,ecommerce|laravel|laravel-framework|laravel-stripe|laravel-voyager|php,15120,FALSE,2017-12-11 10:04:02+00:00,2023-01-03 15:16:28+00:00,TRUE,PHP,
31899,googleads-mobile-android-examples,https://github.com/googleads/googleads-mobile-android-examples,https://github.com/googleads/googleads-mobile-android-examples.git,main,1621,googleads,Organization,googleads-mobile-android,Java,,12573,FALSE,2013-12-04 19:36:18+00:00,2024-02-06 10:08:46+00:00,TRUE,Java,
37912,jpa-hibernate-tutorials,https://github.com/callicoder/jpa-hibernate-tutorials,https://github.com/callicoder/jpa-hibernate-tutorials.git,master,272,callicoder,User,Hibernate Tutorials with Spring Boot and Spring-Data-JPA,Java,composite-primary-key|element-collection|embeddable|embedded|hibernate|hibernate-jpa|hibernate-orm|jpa|many-to-many|many-to-one|one-to-many|one-to-one|spring|spring-boot,126,FALSE,2017-11-22 05:20:22+00:00,2021-10-13 18:20:17+00:00,TRUE,Java,
48358,Clean-Architecture-Template,https://github.com/babaktaremi/Clean-Architecture-Template,https://github.com/babaktaremi/Clean-Architecture-Template.git,master,125,babaktaremi,User,"🧹 Ready to develop template based on clean architecture principles. Supports ASP NET Core Identity integrated with JWE tokens, OTP authentication, stand alone plugin development, CQRS pattern using MediatR library and dynamic permission management system out of the box",C#,architecture|asp-net-core|aspnet-core|aspnetcorewebapi|clean-architecture|cleanarc|cleancode|cqrs-pattern|csharp-clean-code|ddd-aspnetcore|mediator-pattern|microsoft-clean-architecture|net7|netcore|plugin-architecture|solid-principles|template|unitofwork,362,FALSE,2021-03-27 21:06:05+00:00,2023-11-26 14:21:21+00:00,TRUE,C#,
63703,examples,https://github.com/iris-contrib/examples,https://github.com/iris-contrib/examples.git,master,694,iris-contrib,Organization,This repository contains small and practical examples for the Iris Web Framework.,Go,examples|go|golang|iris|iris-golang,18659,FALSE,2016-04-17 00:21:02+00:00,2024-01-11 10:03:06+00:00,TRUE,Go,
75570,android-dev-challenge-compose-2,https://github.com/arkivanov/android-dev-challenge-compose-2,https://github.com/arkivanov/android-dev-challenge-compose-2.git,main,60,arkivanov,User,Week #2 - Countdown timer,Kotlin,,44946,FALSE,2021-03-07 21:06:37+00:00,2021-03-07 23:18:52+00:00,TRUE,Kotlin,
74016,How-to-Build-Android-Apps-with-Kotlin,https://github.com/PacktPublishing/How-to-Build-Android-Apps-with-Kotlin,https://github.com/PacktPublishing/How-to-Build-Android-Apps-with-Kotlin.git,master,97,PacktPublishing,Organization,"A hands-on guide to developing, testing, and publishing your first apps with Android",Kotlin,,4473,FALSE,2020-11-05 06:13:05+00:00,2024-01-28 17:07:43+00:00,TRUE,Kotlin,
17648,frame,https://github.com/jedireza/frame,https://github.com/jedireza/frame.git,master,740,jedireza,User,:bulb: A user system API starter,JavaScript,admin|boilerplate|hapi|javascript|mongodb|nodejs|starter-kit|user-manager|user-system,2477,TRUE,2014-09-20 23:58:13+00:00,2020-07-12 05:20:16+00:00,TRUE,JavaScript,
31337,WeiXinRecordedDemo,https://github.com/Zhaoss/WeiXinRecordedDemo,https://github.com/Zhaoss/WeiXinRecordedDemo.git,master,2246,Zhaoss,User,"仿微信视频拍摄UI, 基于ffmpeg的视频录制编辑",Java,android|ffmpeg|java|video,46423,FALSE,2017-03-01 03:21:08+00:00,2020-11-16 09:40:18+00:00,TRUE,Java,
84736,yew-actix-template,https://github.com/security-union/yew-actix-template,https://github.com/security-union/yew-actix-template.git,main,174,security-union,Organization,Awesome full-stack template using Yew and Rust,Rust,actix|rust|template|yew,110,FALSE,2022-07-04 17:52:01+00:00,2023-11-25 17:33:45+00:00,TRUE,Rust,
37297,eventuate-examples-java-spring-todo-list,https://github.com/eventuate-examples/eventuate-examples-java-spring-todo-list,https://github.com/eventuate-examples/eventuate-examples-java-spring-todo-list.git,master,304,eventuate-examples,Organization,A Java and Spring Boot Todo list application built using Eventuate,Java,,495,FALSE,2015-12-19 19:24:23+00:00,2023-09-12 23:22:02+00:00,TRUE,Java,
67128,algorithm-go,https://github.com/zhang-wangz/algorithm-go,https://github.com/zhang-wangz/algorithm-go.git,main,279,zhang-wangz,User,算法笔记｜base algorithms using go and lc solution using py and go,Go,algorithm|leetcode,786,FALSE,2022-04-28 07:20:05+00:00,2023-12-05 01:42:00+00:00,TRUE,Go,
42883,cqrs-starter-kit,https://github.com/edumentab/cqrs-starter-kit,https://github.com/edumentab/cqrs-starter-kit.git,master,458,edumentab,Organization,A starter kit for working with CQRS and intentful testing.,C#,,7753,FALSE,2013-04-30 12:15:01+00:00,2023-05-31 19:55:35+00:00,TRUE,C#,
60591,go-questions,https://github.com/golang-design/go-questions,https://github.com/golang-design/go-questions.git,main,5467,golang-design,Organization,📖 Go 程序员面试笔试宝典 | 从问题切入，串连  Go 语言相关的所有知识，融会贯通。 https://golang.design/go-questions,Go,book|golang|interview|interview-questions,20224,FALSE,2019-03-02 01:02:10+00:00,2024-02-20 02:54:57+00:00,TRUE,Go,
55,cheat.sh,https://github.com/chubin/cheat.sh,https://github.com/chubin/cheat.sh.git,master,37056,chubin,User,the only cheat sheet you need,Python,cheatsheet|cli|command-line|curl|documentation|examples|hacktoberfest2021|help|terminal|tldr,4558,FALSE,2017-05-07 21:40:56+00:00,2023-12-11 14:30:27+00:00,TRUE,Python,
36027,MultiFunctionAndroidDemo,https://github.com/umeng/MultiFunctionAndroidDemo,https://github.com/umeng/MultiFunctionAndroidDemo.git,master,391,umeng,Organization,友盟多功能Android Demo,Java,,120632,FALSE,2018-03-16 03:38:44+00:00,2024-01-05 07:26:40+00:00,TRUE,Java,
21452,Play-Leetcode,https://github.com/liuyubobobo/Play-Leetcode,https://github.com/liuyubobobo/Play-Leetcode.git,master,2680,liuyubobobo,User,"My Solutions to Leetcode problems. All solutions support C++ language, some support Java and Python. Multiple solutions will be given by most problems. Enjoy:) 我的Leetcode解答。所有的问题都支持C++语言，一部分问题支持Java语言。近乎所有问题都会提供多个算法解决。大家加油！：）",C++,algorithm-challenges|algorithm-competitions|algorithms|interview-questions|leetcode-cpp|leetcode-solutions,5851,FALSE,2016-12-01 17:08:20+00:00,2023-11-09 09:31:35+00:00,TRUE,C_C++,
58414,upload_example,https://github.com/helhum/upload_example,https://github.com/helhum/upload_example.git,master,101,helhum,User,File Upload using Extbase and FAL,PHP,,58,TRUE,2014-05-07 09:34:19+00:00,2020-09-14 14:17:42+00:00,TRUE,PHP,
99312,example-ios-live-streaming,https://github.com/muxinc/example-ios-live-streaming,https://github.com/muxinc/example-ios-live-streaming.git,master,30,muxinc,Organization,An example app for live streaming from an iOS device using the Mux live streaming service.,Swift,,492,TRUE,2018-05-24 20:17:23+00:00,2020-01-30 00:26:04+00:00,TRUE,Swift,
43765,ACNHDesignPatternEditor,https://github.com/FluffyFishGames/ACNHDesignPatternEditor,https://github.com/FluffyFishGames/ACNHDesignPatternEditor.git,master,340,FluffyFishGames,User,An editor for Animal Crossing: New Horizons design patterns.,C#,animal-crossing|animal-crossing-new-horizons|new-horizons|savegame-editor,98325,FALSE,2020-03-31 01:17:37+00:00,2022-12-08 10:27:41+00:00,TRUE,C#,
19912,openvim,https://github.com/egaga/openvim,https://github.com/egaga/openvim.git,master,542,egaga,User,Interactive tutorial for Vim.,JavaScript,interactive-tutorial|javascript|tutorial|vim,227,FALSE,2015-04-16 14:20:57+00:00,2023-07-05 08:38:53+00:00,TRUE,JavaScript,
28475,mastering_ros,https://github.com/qboticslabs/mastering_ros,https://github.com/qboticslabs/mastering_ros.git,master,455,qboticslabs,User,"This repository contains exercise files of the book ""Mastering ROS for Robotics Programming""",C++,amazon|gazebo|robot-framework|robotframework|robotics-book|robotics-programming|ros|ros-book|ros-indigo|ros-industrial|ros-kinetic|ros-moveit|ros-navigation|sensor|tutorial,9763,FALSE,2015-11-25 09:23:08+00:00,2020-05-09 17:56:26+00:00,TRUE,C_C++,
12507,Design-Patterns-in-Javascript,https://github.com/tcorral/Design-Patterns-in-Javascript,https://github.com/tcorral/Design-Patterns-in-Javascript.git,es6,2615,tcorral,User,Design Patterns applied to Javascript code.,JavaScript,,1330,FALSE,2011-09-20 09:51:58+00:00,2023-08-07 04:31:34+00:00,TRUE,JavaScript,
93428,ios_debugger_challenge,https://github.com/rustymagnet3000/ios_debugger_challenge,https://github.com/rustymagnet3000/ios_debugger_challenge.git,master,171,rustymagnet3000,User,A playground for run-time iOS app inspection,Swift,bypass-ptrace|debugger-challenge|frida|ios|jailbreak|jailbreak-detection|lldb|objective-c|ptrace|swift|swizzle|threads,2545,FALSE,2018-04-13 05:44:09+00:00,2022-10-25 05:27:23+00:00,TRUE,Swift,
85866,vulkano-examples,https://github.com/vulkano-rs/vulkano-examples,https://github.com/vulkano-rs/vulkano-examples.git,master,127,vulkano-rs,Organization,Examples of using vulkano,Rust,rust|vulkan|vulkan-api|vulkano,276,TRUE,2017-08-10 08:08:27+00:00,2022-01-29 18:04:42+00:00,TRUE,Rust,
68368,golang-starter,https://github.com/nurcahyaari/golang-starter,https://github.com/nurcahyaari/golang-starter.git,master,220,nurcahyaari,User,Golang code boilerplate inspired by clean architecture,Go,architecture|boilerplate|clean-architecture|golang|rest-api,7888,FALSE,2020-06-10 16:07:37+00:00,2023-03-07 00:23:22+00:00,TRUE,Go,
14929,awesome-web-animation,https://github.com/sergey-pimenov/awesome-web-animation,https://github.com/sergey-pimenov/awesome-web-animation.git,master,1269,sergey-pimenov,User,"A list of awesome web animation libraries, books, apps etc.",JavaScript,animation|awesome|awesome-list|canvas-animation|css-animations|transitions|web-animation,9250,FALSE,2017-04-27 13:28:09+00:00,2023-07-12 12:52:20+00:00,TRUE,JavaScript,
17465,bozon,https://github.com/railsware/bozon,https://github.com/railsware/bozon.git,master,758,railsware,Organization,"🛠 Command line tool for building, testing and publishing modern Electron applications",JavaScript,boilerplate|bozon|electron|electron-application|electron-applications|electron-builder|packaging|scaffold|scaffolding|spectron|testing|webpack,4926,FALSE,2016-04-26 23:16:28+00:00,2023-10-06 20:18:48+00:00,TRUE,JavaScript,
48693,examples,https://github.com/getsentry/examples,https://github.com/getsentry/examples.git,master,118,getsentry,Organization,Collection of all different kinds of Sentry SDKs and integrations,C#,hacktoberfest|tag-non-production,15124,TRUE,2017-07-19 08:35:33+00:00,2023-12-05 14:21:07+00:00,TRUE,C#,
36433,alibabacloud-microservice-demo,https://github.com/aliyun/alibabacloud-microservice-demo,https://github.com/aliyun/alibabacloud-microservice-demo.git,master,360,aliyun,Organization,An Alibaba Cloud native microservice demo powered by Apache Dubbo and Spring Cloud Alibaba,Java,alibabacloud|arms|dubbo|edas|microservice|mse|nacos|sae|sentinel|springcloudalibaba,5678,FALSE,2019-08-06 06:08:50+00:00,2024-02-04 12:10:21+00:00,TRUE,Java,
77575,PermissionsGuideCompose,https://github.com/philipplackner/PermissionsGuideCompose,https://github.com/philipplackner/PermissionsGuideCompose.git,master,39,philipplackner,User,,Kotlin,,100,FALSE,2023-02-04 19:59:37+00:00,2023-09-25 10:02:47+00:00,TRUE,Kotlin,
5607,RLexample,https://github.com/ucla-rlcourse/RLexample,https://github.com/ucla-rlcourse/RLexample.git,master,1172,ucla-rlcourse,Organization,Some basic examples of playing with RL,Python,,18777,FALSE,2019-01-09 03:25:23+00:00,2023-10-11 04:55:34+00:00,TRUE,Python,
71933,android-tutorials,https://github.com/romychab/android-tutorials,https://github.com/romychab/android-tutorials.git,main,265,romychab,User,Source code from YouTube video tutorials,Kotlin,,1301,FALSE,2021-04-28 19:40:55+00:00,2023-06-11 09:09:54+00:00,TRUE,Kotlin,
70002,architecture-samples,https://github.com/android/architecture-samples,https://github.com/android/architecture-samples.git,main,43633,android,Organization,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,Kotlin,android|android-architecture|samples,13309,FALSE,2016-02-05 13:42:07+00:00,2024-02-16 21:58:35+00:00,TRUE,Kotlin,
11078,ant-design-landing,https://github.com/ant-design/ant-design-landing,https://github.com/ant-design/ant-design-landing.git,master,5845,ant-design,Organization,:mountain_bicyclist: Landing Pages of Ant Design System,JavaScript,design|editor|home-page|homepage|landing|landing-page|landing-pages|landingpage|landings|page-editor|react|site|template|templates,32360,FALSE,2018-01-30 07:13:36+00:00,2023-08-16 07:19:58+00:00,TRUE,JavaScript,
46648,Kinematica_Demo,https://github.com/Unity-Technologies/Kinematica_Demo,https://github.com/Unity-Technologies/Kinematica_Demo.git,0.8/release,172,Unity-Technologies,Organization,Kinematica Demo Project,C#,,817735,FALSE,2020-01-14 14:43:35+00:00,2020-12-11 01:10:54+00:00,TRUE,C#,
15840,webpack-demo-app,https://github.com/Colt/webpack-demo-app,https://github.com/Colt/webpack-demo-app.git,master,1017,Colt,User,Accompanies my 10-part Youtube Webpack course.  Each commit comes with detailed notes.,JavaScript,,250,FALSE,2019-03-06 05:07:01+00:00,2023-07-20 07:08:23+00:00,TRUE,JavaScript,
7945,PyQt_practice,https://github.com/muziing/PyQt_practice,https://github.com/muziing/PyQt_practice.git,master,806,muziing,User,通过可直接运行的代码示例讲解 PyQt 5 常用基础控件。附学习资源、demo分享。,Python,pyqt|pyqt5|tutorial,2439,FALSE,2020-07-07 06:44:25+00:00,2022-08-25 02:55:18+00:00,TRUE,Python,
2154,Complete-Placement-Preparation,https://github.com/anushka23g/Complete-Placement-Preparation,https://github.com/anushka23g/Complete-Placement-Preparation.git,main,2974,anushka23g,User,This repository consists of all the material required for cracking the coding rounds and technical interviews during placements.,Python,algorithms|algorithms-and-data-structures|amazon|aws|data-structures|datastructures|datastructures-algorithms|dream-company|dsa-for-free|faang|faang-interview|faang-preparation|google|interview|language|placement|placement-preparation|placement-preparation-portal|placements|technical-interviews,2596,FALSE,2020-12-25 09:58:19+00:00,2023-09-20 03:37:56+00:00,TRUE,Python,
1464,DeepLearningTutorials,https://github.com/lisa-lab/DeepLearningTutorials,https://github.com/lisa-lab/DeepLearningTutorials.git,master,4085,lisa-lab,Organization,Deep Learning Tutorial notes and code. See the wiki for more info.,Python,,11605,FALSE,2010-01-07 18:42:37+00:00,2020-09-30 13:03:49+00:00,TRUE,Python,
49047,blazor-webassembly-jwt-authentication-example,https://github.com/cornflourblue/blazor-webassembly-jwt-authentication-example,https://github.com/cornflourblue/blazor-webassembly-jwt-authentication-example.git,master,112,cornflourblue,User,ASP.NET Core Blazor WebAssembly - JWT Authentication Example,C#,blazor|blazor-webassembly,4867,FALSE,2020-08-13 01:31:58+00:00,2020-11-05 07:13:38+00:00,TRUE,C#,
